French,Malayalam
de,യുടെ
je,ഐ
est,കിഴക്ക്
pas,അല്ല
le,ദി
que,എന്ന്
la,അവിടെ
vous,നിങ്ങൾ
tu,നിങ്ങൾ
un,എ
c',അത്
à,ഉണ്ട്
et,ഒപ്പം
il,അവൻ
a,ഉണ്ട്
l',L'
ne,ജനിച്ചത്
les,ദി
j',ഐ
en,ഇൻ
on,ഞങ്ങൾ
ça,അത്
une,എ
d',യുടെ
ce,ഇത്
qu',എന്ന്
pour,വേണ്ടി
ai,ഐ
n',n'
des,യുടെ
qui,WHO
mais,പക്ഷേ
dans,ഇൻ
nous,ഞങ്ങൾ
elle,അവൾ
me,എന്നെ
bien,നല്ലത്
si,എങ്കിൽ
du,യുടെ
y,വൈ
suis,രാവിലെ
non,ഇല്ല
t',നിങ്ങൾ
avec,കൂടെ
tout,എല്ലാം
plus,കൂടുതൽ
mon,എൻ്റെ
m',എന്നെ
te,നിങ്ങൾ
au,ചെയ്തത്
fait,ചെയ്യുക
moi,എന്നെ
s',എങ്കിൽ
oui,അതെ
va,പോകൂ
était,ആയിരുന്നു
as,ഏസ്
faire,ചെയ്യേണ്ടത്
ils,അവർ
sur,ഓൺ
quoi,എന്ത്
se,സെ
comme,പോലെ
sais,അറിയാം
être,ആയിരിക്കും
veux,ആഗ്രഹിക്കുന്നു
ici,ഇവിടെ
ma,എൻ്റെ
toi,നിങ്ങൾ
est-ce,ഇതാണോ
dit,പറഞ്ഞു
lui,അവനെ
votre,നിങ്ങളുടെ
es,ആകുന്നു
pourquoi,എന്തിന്
où,അല്ലെങ്കിൽ
là,അവിടെ
rien,ഒന്നുമില്ല
cette,ഇത്
sont,ആകുന്നു
quand,എപ്പോൾ
peux,കഴിയും
dire,പറയുക
son,അവളെ
avez,ഉണ്ട്
vais,പോകൂ
alors,SO
ton,നിങ്ങളുടെ
comment,എങ്ങനെ
par,വഴി
ou,അല്ലെങ്കിൽ
chose,കാര്യം
bon,നല്ലത്
ont,ഉണ്ട്
merci,നന്ദി
juste,വെറും
très,വളരെ
jamais,ഒരിക്കലുമില്ല
été,വേനൽക്കാലം
aussi,കൂടാതെ
avoir,ഉണ്ടായിരിക്കണം
vraiment,ശരിക്കും
voir,കാണുക
même,പോലും
sa,അതിൻ്റെ
oh,ഓ
maintenant,ഇപ്പോൾ
tous,എല്ലാം
peut,കഴിയും
deux,രണ്ട്
ces,ഇവ
êtes,ആകുന്നു
allez,പോകൂ
ta,നിങ്ങളുടെ
autre,മറ്റുള്ളവ
peu,കുറച്ച്
temps,സമയം
quelque,ചിലത്
fais,ചെയ്യുക
toujours,എപ്പോഴും
encore,വീണ്ടും
notre,ഞങ്ങളുടെ
mes,എൻ്റെ
besoin,ആവശ്യം
avait,ഉണ്ടായിരുന്നു
accord,കരാർ
faut,വേണം
dois,ചെയ്തിരിക്കണം
vie,ജീവിതം
peut-être,ഒരുപക്ഷേ
aller,പോകൂ
fois,തവണ
vu,കണ്ടു
donc,SO
sans,ഇല്ലാതെ
monde,ലോകം
ét,ഒപ്പം
